ticket_id,enteredDate,lastModified,closedDate,status,contactMethod,category,description,department,location,city,state,zip,latitude,longitude
155981,"2016-09-18 09:56:40","2019-01-10 08:51:31","2016-10-05 11:31:17",closed,Other,"Blocked Sidewalk","Blocked. Corner Lincoln and 4th.
Notified U Methodist Church that blue spruce will need to be trimmed or removed. 9.19.16",,,Bloomington,IN,,,
156084,"2016-09-20 11:16:23","2016-09-23 10:55:33","2016-09-23 10:55:33",closed,Other,"Blocked Sidewalk","There is a Jeep intruding on the sidewalk here near the corner of Atwater and Jordan. Sidewalk is already very narrow as it is.",,"402 S Jordan AVE",Bloomington,IN,47401,39.16300201416016,-86.51666259765625
156175,"2016-09-25 12:02:33","2016-09-27 13:43:06","2016-09-27 13:43:06",closed,Other,"Blocked Sidewalk","Damaged sign. University and woodlawn.","Street Department",,Bloomington,IN,,,
156287,"2016-09-29 11:28:45","2016-11-15 10:55:43","2016-11-15 10:55:43",closed,Other,"Blocked Sidewalk","Junk in yard as a ""yard sale"" blocking sidewalk","Planning and Transportation","2615 S Rockport RD",Bloomington,IN,47403,39.13897323608398,-86.54581451416016
156303,"2016-10-01 11:52:11","2016-10-06 14:30:27","2016-10-06 14:30:27",closed,Other,"Blocked Sidewalk","9th east of Fairview","Street Department",,Bloomington,IN,,,
156304,"2016-10-01 11:53:10","2019-01-10 08:51:31","2016-10-19 11:41:32",closed,Other,"Blocked Sidewalk","9th and Jackson",,,Bloomington,IN,,,
156305,"2016-10-01 11:54:05","2016-10-20 12:47:07","2016-10-20 12:47:07",closed,Other,"Blocked Sidewalk","Jackson s of 9th","Street Department",,Bloomington,IN,,,
156307,"2016-10-01 21:31:22","2016-10-14 14:06:37","2016-10-14 14:06:37",closed,Other,"Blocked Sidewalk","Sidewalk on east side of Rogers between 3rd and 4th, in front of outlet store, is often blocked by cars. Customers park on the sidewalk, meaning pedestrians have to walk on the busy street or cross the street.",,,Bloomington,IN,,,
156310,"2016-10-03 08:13:46","2016-10-24 13:49:51","2016-10-24 13:49:51",closed,Other,"Blocked Sidewalk","The construction crew working on the new building across from Kroger constantly blocks the multi-use path. The license plate of the truck blocking the path this morning is TK 990LMG.","Police Department","1116 S College Mall RD",Bloomington,IN,47401,39.15361785888672,-86.49790191650390
156409,"2016-10-06 10:42:13","2019-01-10 08:51:31","2017-01-31 09:43:59",closed,Other,"Blocked Sidewalk","Bushes grown across sidewalk....  again",,"2107 W 3rd St",Bloomington,IN,,39.15994262695312,-86.56814575195312
